id	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
Group	A9	A10	A11	A12	A13	A14	A15	A16	A17
RPPH1	8.36756	8.66881	9.12023	9.33294	8.03359	9.32276	9.71793	8.93698	9.25707
RMRP	8.63962	8.8868	8.7031	8.97677	7.96117	8.86978	9.04997	8.68412	8.69136
CDR1	7.23332	7.2334	7.78099	7.55625	8.58264	7.83304	7.35947	7.31019	7.82225
GFAP	6.89926	7.31189	7.1323	7.83399	8.32124	7.45807	7.77392	7.97105	8.0235
MALAT1	6.92523	7.09352	7.19149	7.20365	8.02899	7.24542	7.08013	6.88992	7.29369
SPARCL1	7.18798	7.15404	6.78838	6.8417	6.34453	7.04109	6.91861	7.10683	6.90842
PLP1	7.33593	6.84113	7.23896	7.37293	6.44022	7.30284	7.28903	6.38334	7.08004
SNAP25	7.00291	7.02112	6.66123	6.5304	4.73709	6.81346	6.64283	6.94795	6.53669
CLU	6.40853	6.6344	6.60934	6.63636	6.93563	6.80652	6.84718	6.8558	6.83293
SCARNA2	6.28789	6.30126	6.52084	6.81666	6.42094	6.45657	7.0149	6.52166	6.60229
CALM2	6.92887	6.89538	6.65233	6.69446	5.49224	6.62978	6.54839	6.60385	6.39305
TMSB10	6.38696	6.48367	6.31744	6.53211	5.8181	6.4181	6.63239	6.61998	6.49514
KIF5A	6.06473	6.22527	6.42729	6.31029	6.87763	6.41576	6.69348	6.23131	6.62676
UCHL1	6.34142	6.39494	6.36252	6.18367	5.02381	6.29121	6.42252	6.44548	6.32093
HSPA8	6.42321	6.30568	6.57998	6.14245	6.2429	6.22864	5.98557	6.30008	6.02004
CPE	6.31457	6.37985	6.20434	6.31402	5.89528	6.2993	6.37487	6.38197	6.44594
CALM1	6.24971	6.23367	6.24531	6.16616	5.64196	6.18097	6.10029	6.32083	6.08421
MBP	6.01424	5.67568	6.11116	6.41225	6.71629	6.17065	6.25963	5.4516	6.07276
SNURF	6.3224	6.19596	6.26935	5.94954	5.74657	6.08143	5.95858	6.39121	5.96553
PSAP	6.22443	6.2388	6.21995	6.12545	5.68704	6.19031	6.21844	6.25182	6.11683
CST3	5.87555	5.56016	5.69286	6.06131	6.00998	6.22344	6.33339	5.92922	6.42875
DPYSL2	6.13011	6.1206	6.11547	6.14361	5.86959	6.18509	6.1903	6.23354	6.17327
ACTB	5.94366	6.13411	5.95327	6.13098	5.63112	6.18081	6.28992	6.11625	6.07496
APP	6.16589	6.11763	6.15309	6.04344	5.28249	6.09543	6.13407	6.13402	5.99856
GLUL	5.90922	5.81065	5.91909	5.95764	5.88415	6.02688	6.26527	5.65432	6.24457
ALDOC	6.00096	6.07074	5.89849	5.79444	5.31302	6.07952	6.20883	5.99218	6.02191
SLC1A2	5.85582	5.92478	5.70363	5.965	5.45707	6.06296	6.24515	5.81664	6.06622
MDH1	6.27745	6.213	5.93328	5.78037	4.05749	6.05006	5.8887	6.19545	5.74495
SPTAN1	5.84293	5.934	5.79815	5.80924	5.46116	5.8866	5.91062	6.01044	5.84332
TPT1	5.83346	5.90884	6.02709	5.91816	6.18538	5.8427	5.72203	5.58779	5.74956
UBB	5.77066	5.7226	5.89549	5.75249	5.50262	5.75991	6.0316	6.00283	5.8873
SCARNA5	5.41473	5.76975	5.70616	5.95478	4.89388	6.08196	6.19994	5.59465	5.83216
B2M	5.10986	5.41444	4.98243	5.60877	4.65087	5.42118	5.78729	5.33011	5.54969
CAMK2A	5.56253	5.67592	5.8551	5.61008	5.37382	5.63599	5.88556	5.94982	5.86322
VSNL1	5.91336	5.87263	5.72081	5.71598	4.288	5.97777	5.8795	5.92277	5.73438
SERINC1	5.98003	6.03387	5.76491	5.83559	4.81799	5.81837	5.8757	5.88441	5.65555
FXYD6	5.61543	5.77706	5.57829	5.72006	5.24357	5.78416	5.93054	5.84157	5.74596
SPP1	5.50795	5.47805	5.70672	5.75972	5.71807	5.12434	5.51138	5.63007	5.71956
ATP1B1	5.97961	5.99949	5.97242	5.60454	4.62714	5.89849	5.69339	5.76855	5.65103
EIF4A2	6.08859	6.03347	5.83568	5.52559	4.9383	5.69007	5.41939	6.01685	5.26522
GAPDH	5.83861	6.02711	5.78397	5.72237	5.35388	5.62696	5.64638	5.79196	5.47923
CHN1	5.98649	5.92992	5.83769	5.44887	4.73939	5.62516	5.51328	6.04432	5.5663
CALM3	5.70832	5.6804	5.73202	5.60309	4.99544	5.81859	5.6355	5.82229	5.40302
COX5B	5.85927	5.84142	5.70501	5.70525	5.10397	5.73237	5.68203	5.71169	5.50676
EEF2	5.49537	5.54206	5.56533	5.53288	5.60234	5.70799	5.85387	5.76265	5.73558
CRYAB	5.5903	5.04677	5.85836	5.60096	6.67007	5.93013	5.44373	4.95737	5.57094
RPS25	5.71603	5.94704	5.55744	5.72953	6.10337	5.65679	5.4684	5.33499	5.16749
RPL30	5.75848	5.74053	5.60469	5.93817	5.85797	5.81454	5.68478	5.38234	5.44242
PKM2	5.71403	5.86424	5.65996	5.47451	4.85221	5.64149	5.69012	5.90896	5.45368
GPM6B	5.80184	5.60943	5.68476	5.84138	5.16433	5.73384	5.92475	5.5367	5.84484
SYT1	5.81415	5.8667	5.63771	5.58691	4.42232	5.68895	5.6484	5.79431	5.49324
RPL18	5.45064	5.51281	5.51124	5.68515	5.82271	5.60737	5.8609	5.60066	5.5096
GPM6A	5.71743	5.76614	5.49245	5.70977	4.55094	5.71004	5.71151	5.73326	5.63839
RPL37A	5.47119	5.58335	5.37939	5.80533	5.44051	5.857	5.91119	5.56924	5.61098
MAP1B	5.81272	5.85582	5.72839	5.46184	5.03394	5.62053	5.51977	5.73151	5.53884
NDRG2	5.44929	5.33244	5.49824	5.60603	5.98152	5.60702	5.62954	5.09733	5.58386
SNORD17	4.83606	5.23085	5.37845	5.5253	5.56576	5.69366	5.70526	4.47293	5.24286
APOD	5.44719	5.40524	5.52869	5.73812	5.99119	5.46648	5.60532	5.07417	5.46208
C7orf41	5.39988	5.35576	5.51283	5.65081	6.16261	5.32283	5.44196	5.32057	5.37905
LDHB	5.75782	5.63749	5.6173	5.58055	5.05355	5.7668	5.58336	5.67594	5.52394
TUBA1A	5.82059	5.37762	5.62563	5.80965	5.22053	5.96012	5.74491	5.64581	5.4806
ATP1A2	5.26566	5.38076	5.53213	5.52549	5.73514	5.67876	5.52653	5.24348	5.62722
ATP1A3	5.64276	5.65313	5.64945	5.338	4.53083	5.63975	5.58797	5.73815	5.46338
FAM107A	4.77333	5.39276	5.22706	5.57699	6.1127	5.49148	5.66543	5.3187	5.64868
SNRPN	5.67465	5.63693	5.60454	5.37092	4.97404	5.48351	5.38633	5.72618	5.35699
APLP1	5.55443	5.44376	5.72275	5.64119	5.31887	5.65929	5.75115	5.39546	5.47529
PEBP1	5.71137	5.73257	5.4321	5.4148	4.91646	5.5382	5.64239	5.65993	5.36716
HSP90AB1	5.64538	5.60444	5.60821	5.30128	5.24426	5.4533	5.28787	5.58383	5.23964
TSPAN7	5.53614	5.57425	5.44859	5.45569	4.28989	5.59187	5.58044	5.55686	5.39276
CKB	5.38033	5.28215	5.48173	5.31053	5.22431	5.45518	5.63716	5.44015	5.55702
RTN4	5.7237	5.6924	5.60162	5.32066	4.65632	5.48546	5.42153	5.6173	5.28838
ITM2B	5.59294	5.68344	5.50531	5.62438	4.87212	5.57692	5.62745	5.46099	5.50294
IDS	5.42922	5.58817	5.33076	5.41631	5.16083	5.45527	5.53778	5.60729	5.44885
STMN1	5.64947	5.62848	5.48225	5.56179	4.63844	5.60639	5.47924	5.36127	5.33319
APOE	5.15111	5.16432	5.12963	5.60172	5.28833	5.67048	5.69961	5.02193	5.70017
