id	C3_raw	C4_raw	C7_raw	C8_raw	A9_raw	A10_raw	A11_raw	A12_raw	A14_raw	A15_raw
A1BG	78	125	154	91	71	55	93	135	128	150
A2M	5900	6911.162763	7641	3477.857839	5722.104449	7018.062247	5370	9623	12640	10217.11026
NAT1	5	15	14	11	8	8	18	11	9	16
NAT2	1	0	2	4	3	1	9	5	4	3
SERPINA3	156	334	195	220	431	1130.073451	325	1686	3885.254312	1027
AADAC	2	0	0	0	3	2	2	0	0	1
AAMP	950.1143891	2416.164246	3181.415469	2045.314715	1602.425621	1448.2442	1999.966919	1805.327057	2199.996721	1950.330397
AANAT	12	5	9	11	9	5	20	9	14	17
AARS	5139	11213	15787.32004	9387.216936	7952.356867	6145	10553.14459	7864	9967	7456
ABAT	5211.917091	9458.975684	11621.26971	9082.66406	6017.988056	5639.95756	6942.255082	7339.980149	8292.365148	7511.37699
ABCA1	1548.00851	2096	2365	1634	1404.009629	2053	2319.006199	2844	2311	2598
ABCA2	12896	33208	25582.38078	16676	21050	13252	29140.14321	34405	30920	31153
ABCA3	3508	5996	7560	5561	3557	3546.929204	5198	4676	5846	4986
ABCB7	420	857.8291646	893	579	602	489.0083016	754.9048941	833	897	719.9180776
ABCF1	945	1707.057308	2138.60024	1375.896869	1187.013679	930	1529	1527	1678	1365
ABCA4	67	115	89	41	54	52	39	52	88	147
ABL1	978	1767	1875	1201	1175	999	1556	1688	1896	1745
ABP1	3	2	2	1	0	2	3	0	0	3
ABL2	1363	2835	3482	2723	2071	1908	2909	2598	2674	2134
ABO	13	10	21	2	1	5	3	14	11	17
ABR	9557.232763	14979.19526	19345.24831	13481.7759	8594.15055	8576.097186	10982.33097	11469.25626	13132.00187	12982.39939
ACAA1	579.0120867	1102	935	874.4168633	551.0419402	738.7848373	866.920416	1154.357464	1196.710189	1008.920846
ACACA	4879.786784	10073.27875	12251.10005	6768.903852	7883.601339	5544.017129	9391.529828	7363.790041	7644.768649	7281.057279
ACACB	2051.036408	3450.004132	2168	2863.524188	1279	1256.529412	2538.402031	3154	1617	2505
