id	C1_rpkm	C2_rpkm	C3_rpkm	C4_rpkm	C5_rpkm	C6_rpkm	C7_rpkm	C8_rpkm	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
Group	Control	Control	Control	Control	Control	Control	Control	Control	AD	AD	AD	AD	AD	AD	AD	AD	AD
RPPH1	9.58778	9.40625	8.61422	9.14366	8.52168	9.50689	9.37969	9.05096	8.36756	8.66881	9.12023	9.33294	8.03359	9.32276	9.71793	8.93698	9.25707
RMRP	8.84999	7.01056	8.56514	9.002	8.35059	9.04874	8.9322	8.5766	8.63962	8.8868	8.7031	8.97677	7.96117	8.86978	9.04997	8.68412	8.69136
CDR1	7.50081	8.26784	7.91243	7.47987	8.08622	6.7746	6.96927	7.07354	7.23332	7.2334	7.78099	7.55625	8.58264	7.83304	7.35947	7.31019	7.82225
GFAP	7.26278	6.82994	6.8387	6.70546	7.78385	7.28905	6.67978	7.00451	6.89926	7.31189	7.1323	7.83399	8.32124	7.45807	7.77392	7.97105	8.0235
MALAT1	7.2609	7.58256	7.44711	6.96787	7.6725	7.14442	6.65633	6.69996	6.92523	7.09352	7.19149	7.20365	8.02899	7.24542	7.08013	6.88992	7.29369
SPARCL1	7.28116	5.30952	6.97368	6.93043	6.68245	6.67041	6.90759	7.06471	7.18798	7.15404	6.78838	6.8417	6.34453	7.04109	6.91861	7.10683	6.90842
PLP1	7.04256	5.87516	6.13592	6.86996	7.0686	5.34755	6.64819	6.55951	7.33593	6.84113	7.23896	7.37293	6.44022	7.30284	7.28903	6.38334	7.08004
SNAP25	6.91633	5.91794	6.68776	6.88204	4.63279	6.91233	7.16993	7.06882	7.00291	7.02112	6.66123	6.5304	4.73709	6.81346	6.64283	6.94795	6.53669
CLU	6.53715	5.53487	6.72398	6.52294	6.58719	6.85651	6.53686	6.55175	6.40853	6.6344	6.60934	6.63636	6.93563	6.80652	6.84718	6.8558	6.83293
SCARNA2	6.31089	6.67331	6.51719	6.54412	6.60928	7.19733	6.54827	6.55298	6.28789	6.30126	6.52084	6.81666	6.42094	6.45657	7.0149	6.52166	6.60229
CALM2	6.76203	5.38007	6.43409	6.58701	6.08947	6.6376	6.77216	6.7038	6.92887	6.89538	6.65233	6.69446	5.49224	6.62978	6.54839	6.60385	6.39305
TMSB10	6.44043	5.52135	6.33398	6.67639	6.11883	7.2262	6.61631	6.61434	6.38696	6.48367	6.31744	6.53211	5.8181	6.4181	6.63239	6.61998	6.49514
KIF5A	6.18283	5.99266	6.751	6.44098	6.63551	6.09328	6.10871	6.32587	6.06473	6.22527	6.42729	6.31029	6.87763	6.41576	6.69348	6.23131	6.62676
UCHL1	6.35714	5.92048	6.32555	6.36315	4.64719	6.48467	6.63838	6.70108	6.34142	6.39494	6.36252	6.18367	5.02381	6.29121	6.42252	6.44548	6.32093
HSPA8	6.32662	4.96088	6.17859	6.63184	6.16632	6.29505	6.44218	6.27943	6.42321	6.30568	6.57998	6.14245	6.2429	6.22864	5.98557	6.30008	6.02004
CPE	6.28758	4.54731	6.24956	6.14539	6.22576	6.31457	6.38038	6.47188	6.31457	6.37985	6.20434	6.31402	5.89528	6.2993	6.37487	6.38197	6.44594
CALM1	6.17113	5.176	6.19643	6.12095	5.44788	6.42597	6.49258	6.48576	6.24971	6.23367	6.24531	6.16616	5.64196	6.18097	6.10029	6.32083	6.08421
MBP	6.01844	6.28667	5.89377	6.02511	7.03835	4.42343	6.15095	5.49062	6.01424	5.67568	6.11116	6.41225	6.71629	6.17065	6.25963	5.4516	6.07276
SNURF	6.20579	5.35708	6.03945	6.46572	5.34394	6.3271	6.49245	6.35739	6.3224	6.19596	6.26935	5.94954	5.74657	6.08143	5.95858	6.39121	5.96553
PSAP	6.16289	5.14497	6.00533	6.15311	5.59781	6.34935	6.23864	6.26154	6.22443	6.2388	6.21995	6.12545	5.68704	6.19031	6.21844	6.25182	6.11683
CST3	5.93666	5.73163	6.21301	5.79785	6.55319	6.13047	6.18064	6.16154	5.87555	5.56016	5.69286	6.06131	6.00998	6.22344	6.33339	5.92922	6.42875
DPYSL2	6.09337	5.27207	5.99413	6.10894	5.8146	6.0687	6.08258	6.09622	6.13011	6.1206	6.11547	6.14361	5.86959	6.18509	6.1903	6.23354	6.17327
ACTB	6.09973	5.48493	6.00947	5.9795	5.65458	6.44476	6.02298	6.12821	5.94366	6.13411	5.95327	6.13098	5.63112	6.18081	6.28992	6.11625	6.07496
APP	6.11056	5.16669	5.98758	6.08717	5.4835	6.11722	6.26764	6.19187	6.16589	6.11763	6.15309	6.04344	5.28249	6.09543	6.13407	6.13402	5.99856
GLUL	6.14813	5.12108	6.0383	6.13875	6.51732	5.69468	5.80497	6.12587	5.90922	5.81065	5.91909	5.95764	5.88415	6.02688	6.26527	5.65432	6.24457
ALDOC	5.81099	5.07898	6.05053	5.96993	5.89335	5.54047	5.9835	6.14708	6.00096	6.07074	5.89849	5.79444	5.31302	6.07952	6.20883	5.99218	6.02191
SLC1A2	6.12428	4.39567	6.15516	5.27187	6.33551	5.45437	6.09819	6.13053	5.85582	5.92478	5.70363	5.965	5.45707	6.06296	6.24515	5.81664	6.06622
MDH1	5.95939	4.60016	5.75084	5.97732	4.38366	6.1704	6.37835	6.31147	6.27745	6.213	5.93328	5.78037	4.05749	6.05006	5.8887	6.19545	5.74495
SPTAN1	5.78619	6.18828	6.01228	5.8426	5.48606	5.85586	5.9875	6.09974	5.84293	5.934	5.79815	5.80924	5.46116	5.8866	5.91062	6.01044	5.84332
TPT1	5.89524	4.8139	5.70968	5.91438	6.54876	5.7695	5.63512	5.54543	5.83346	5.90884	6.02709	5.91816	6.18538	5.8427	5.72203	5.58779	5.74956
UBB	5.72992	5.34171	5.65096	5.87411	5.39318	6.21049	6.13274	6.0578	5.77066	5.7226	5.89549	5.75249	5.50262	5.75991	6.0316	6.00283	5.8873
SCARNA5	6.36605	4.65922	5.35693	5.37699	5.63525	6.08924	6.22098	5.88328	5.41473	5.76975	5.70616	5.95478	4.89388	6.08196	6.19994	5.59465	5.83216
B2M	5.28387	3.53495	4.9383	5.07639	5.67154	7.83793	5.0052	4.79459	5.10986	5.41444	4.98243	5.60877	4.65087	5.42118	5.78729	5.33011	5.54969
CAMK2A	5.7206	5.7075	6.11929	5.97293	5.12093	5.81075	5.9421	6.09629	5.56253	5.67592	5.8551	5.61008	5.37382	5.63599	5.88556	5.94982	5.86322
VSNL1	5.8509	5.63021	5.86689	5.79809	4.35453	6.05061	6.1529	6.04905	5.91336	5.87263	5.72081	5.71598	4.288	5.97777	5.8795	5.92277	5.73438
SERINC1	5.88603	4.38841	5.6855	5.79551	5.26938	5.97992	5.9824	5.90702	5.98003	6.03387	5.76491	5.83559	4.81799	5.81837	5.8757	5.88441	5.65555
FXYD6	5.88268	5.1618	5.94686	5.94759	4.65087	5.61849	5.99934	6.0542	5.61543	5.77706	5.57829	5.72006	5.24357	5.78416	5.93054	5.84157	5.74596
SPP1	5.73038	4.35453	4.61861	5.61809	5.85911	7.25867	4.71177	5.00588	5.50795	5.47805	5.70672	5.75972	5.71807	5.12434	5.51138	5.63007	5.71956
ATP1B1	5.86105	4.94123	5.64389	5.82489	4.72797	5.87475	5.94731	5.94843	5.97961	5.99949	5.97242	5.60454	4.62714	5.89849	5.69339	5.76855	5.65103
EIF4A2	5.7622	4.22458	5.52851	6.01098	5.10854	5.92553	6.11595	5.85938	6.08859	6.03347	5.83568	5.52559	4.9383	5.69007	5.41939	6.01685	5.26522
GAPDH	5.94738	4.61287	5.43127	5.86981	5.10762	6.13799	5.72604	5.82107	5.83861	6.02711	5.78397	5.72237	5.35388	5.62696	5.64638	5.79196	5.47923
CHN1	5.59608	4.47523	5.66216	5.99261	4.40316	6.00577	6.11634	5.97828	5.98649	5.92992	5.83769	5.44887	4.73939	5.62516	5.51328	6.04432	5.5663
CALM3	5.76741	5.34531	5.86525	5.75764	4.55711	5.79191	6.01851	5.98167	5.70832	5.6804	5.73202	5.60309	4.99544	5.81859	5.6355	5.82229	5.40302
COX5B	5.84461	4.88993	5.66969	5.93613	5.24587	5.76871	5.7911	5.72913	5.85927	5.84142	5.70501	5.70525	5.10397	5.73237	5.68203	5.71169	5.50676
EEF2	5.5517	5.36849	5.78316	5.74491	5.64985	5.66714	5.7202	5.74336	5.49537	5.54206	5.56533	5.53288	5.60234	5.70799	5.85387	5.76265	5.73558
CRYAB	5.67346	5.9012	5.19638	5.681	6.13611	4.64112	5.15909	4.95117	5.5903	5.04677	5.85836	5.60096	6.67007	5.93013	5.44373	4.95737	5.57094
RPS25	5.77589	5.25301	5.78058	5.98986	5.85101	5.53855	5.31105	5.2312	5.71603	5.94704	5.55744	5.72953	6.10337	5.65679	5.4684	5.33499	5.16749
RPL30	5.71032	4.37613	5.62998	5.96324	6.04976	5.5112	5.42504	5.205	5.75848	5.74053	5.60469	5.93817	5.85797	5.81454	5.68478	5.38234	5.44242
PKM2	5.66332	4.87968	5.56116	5.77263	4.83917	5.97077	5.87952	5.89016	5.71403	5.86424	5.65996	5.47451	4.85221	5.64149	5.69012	5.90896	5.45368
GPM6B	5.88109	4.15798	5.45804	5.43644	5.81813	5.39913	5.49989	5.65677	5.80184	5.60943	5.68476	5.84138	5.16433	5.73384	5.92475	5.5367	5.84484
SYT1	5.77203	4.79459	5.72451	5.72868	4.04247	5.63943	5.95633	5.90718	5.81415	5.8667	5.63771	5.58691	4.42232	5.68895	5.6484	5.79431	5.49324
RPL18	5.63117	4.86142	5.66371	5.65799	5.89272	5.46096	5.60083	5.50539	5.45064	5.51281	5.51124	5.68515	5.82271	5.60737	5.8609	5.60066	5.5096
GPM6A	5.64342	4.27861	5.61644	5.40404	4.98938	5.83511	6.00646	5.89445	5.71743	5.76614	5.49245	5.70977	4.55094	5.71004	5.71151	5.73326	5.63839
RPL37A	5.47287	4.64719	5.5819	5.79659	5.8235	5.41331	5.70926	5.4085	5.47119	5.58335	5.37939	5.80533	5.44051	5.857	5.91119	5.56924	5.61098
MAP1B	5.64936	4.99281	5.62227	5.63452	4.45444	5.6955	5.78818	5.85159	5.81272	5.85582	5.72839	5.46184	5.03394	5.62053	5.51977	5.73151	5.53884
NDRG2	5.50316	5.32132	5.77061	5.60279	6.27121	4.61287	5.31695	5.47296	5.44929	5.33244	5.49824	5.60603	5.98152	5.60702	5.62954	5.09733	5.58386
SNORD17	6.25067	6.5567	4.9211	5.62773	5.36765	5.56766	5.43127	5.13696	4.83606	5.23085	5.37845	5.5253	5.56576	5.69366	5.70526	4.47293	5.24286
APOD	5.7204	5.18921	5.2661	5.64446	6.48298	5.3317	4.73425	5.0143	5.44719	5.40524	5.52869	5.73812	5.99119	5.46648	5.60532	5.07417	5.46208
C7orf41	5.5265	4.87212	5.37118	5.60454	6.36103	5.25052	5.63038	5.23425	5.39988	5.35576	5.51283	5.65081	6.16261	5.32283	5.44196	5.32057	5.37905
LDHB	5.52497	4.49901	5.50962	5.67336	5.44006	5.44832	5.72963	5.76722	5.75782	5.63749	5.6173	5.58055	5.05355	5.7668	5.58336	5.67594	5.52394
TUBA1A	5.70023	4.69614	5.23366	5.52305	5.08422	5.25703	5.779	5.5989	5.82059	5.37762	5.62563	5.80965	5.22053	5.96012	5.74491	5.64581	5.4806
ATP1A2	5.63173	5.19012	5.86119	5.40341	6.11672	5.14765	5.46315	5.31061	5.26566	5.38076	5.53213	5.52549	5.73514	5.67876	5.52653	5.24348	5.62722
